node,time,resut
1000,5.813641,"[999, 1000, 897, 999, 782, 997, 772, 936, 668]"
5000,142.5231217,"[4999, 5000, 4450, 4999, 4864, 4998, 2641, 4993, 4950, 4991, 4874, 4990, 4289, 4988, 3924, 4987, 4888, 4986, 3218, 4983, 4794, 4975, 4899, 4970, 4062, 4960, 3966, 4950, 4947, 4658, 4943, 4873, 4902, 4291, 4873, 4249, 4291, 3739, 4249, 2051, 3911]"
5500,181.0768411,"[5499, 5500, 5137, 5499, 4282, 5498, 3548, 5496, 5377, 5495, 5022, 5494, 4209, 5493, 4915, 5492, 4019, 5491, 4637, 5490, 4505, 5489, 4395, 5488, 4660, 5486, 5004, 5485, 5140, 5484, 3816, 5483, 5346, 5480, 4986, 5479, 4953, 5478, 5313, 5477, 4314, 5474, 5242, 5471, 5206, 5469, 5413, 5465, 5256, 5463, 5455, 5462, 4704, 5460, 5422, 5459, 5344, 5458, 5078, 5441, 4748, 5437, 5333, 5434, 5389, 5429, 4637, 5414, 4138, 5393, 4386, 4667, 2157, 2511, 2072, 2157, 1938, 2072, 1938]"
6000,248.5344934,"[5999, 6000, 5819, 5999, 5000, 5997, 5354, 5993, 5459, 5991, 5443, 5990, 5616, 5989, 5906, 5987, 5915, 5985, 5297, 5984, 5924, 5979, 5498, 5970, 3869, 5950, 4929, 5941, 5143, 5929, 5688, 5924, 4878, 5537, 4478, 4878, 3910, 4478, 3747, 3910, 3196, 3747, 3177, 3196, 3176, 3177, 2296, 3176, 2223, 2296, 1896, 2223, 1802, 1896, 1732, 1802, 1400, 1732, 1384, 1400, 1124, 1384, 626, 1124, 23, 626, 23]"
6500,258.5399277,"[6499, 6500, 5973, 6499, 6216, 6498, 6247, 6497, 6231, 6496, 4954, 6495, 5553, 6494, 5000, 6493, 6044, 6492, 6069, 6491, 6486, 6490, 5790, 6489, 6338, 6488, 6436, 6486, 5994, 6485, 5013, 6483, 5865, 6480, 5936, 6478, 6069, 6474, 6296, 6473, 5560, 6472, 6451, 6471, 5560, 6465, 2363, 6459, 6038, 6457, 4480, 6456, 6341, 6448, 5606, 6447, 6146, 6446, 6435, 6444, 5337, 6439, 6419, 6436, 5531, 6419, 830, 6408, 6057, 6311, 4095, 6279, 3791, 5402, 3263, 3791, 2911, 3263, 2700, 2911, 2524, 2700, 2131, 2524, 1031, 2131, 1031]"
7000,265.9041318,"[6999, 7000, 6962, 6999, 6913, 6998, 5263, 6997, 6527, 6996, 5349, 6995, 6719, 6994, 6724, 6992, 6533, 6987, 6879, 6983, 5062, 6981, 5868, 6980, 5459, 6978, 6532, 6977, 6907, 6975, 5172, 6974, 6626, 6972, 2949, 6969, 6957, 6963, 6660, 6962, 6833, 6961, 6592, 6959, 6776, 6957, 6695, 6936, 6855, 6934, 5349, 6907, 6756, 6858, 4048, 5888, 3156, 4048, 3085, 3156, 2681, 3085, 964, 2681, 932, 964, 271, 932, 271]"
